id,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_duration
id_0,2016-01-01 00:00:00,-73.9126043951444,40.804077275462916,-73.96085802444811,40.81286014671906,3,774
id_1,2016-01-01 00:01:00,-73.9461121560248,40.82958064656721,-73.97791635124922,40.80336066919651,2,598
id_2,2016-01-01 00:02:00,-73.90414020800885,40.734097730875774,-73.97926271150843,40.816557057220884,1,2202
id_3,2016-01-01 00:03:00,-73.92026319709406,40.75449194346614,-73.98906565081444,40.824775417988405,1,1607
id_4,2016-01-01 00:04:00,-73.98058226521123,40.789774074838355,-73.89216436489977,40.786417577235774,3,1589
id_5,2016-01-01 00:05:00,-73.89243776483632,40.77151944533252,-73.92449190978152,40.80451627341745,2,664
id_6,2016-01-01 00:06:00,-73.91388602980096,40.793755620654665,-73.95787628807942,40.77901347654445,2,748
id_7,2016-01-01 00:07:00,-73.9113935694723,40.78864043331387,-73.93209214028799,40.80858148522785,2,549
id_8,2016-01-01 00:08:00,-73.97718863673244,40.80879894678995,-73.92809260500685,40.783672295665774,2,874
id_9,2016-01-01 00:09:00,-73.94496140621044,40.737090292014074,-73.9717071040389,40.80363148118889,2,1653
id_10,2016-01-01 00:10:00,-73.95292019757673,40.774061606992845,-73.96111318184464,40.75750348386835,1,325
id_11,2016-01-01 00:11:00,-73.89732350111514,40.816005378968974,-73.93527222460462,40.79869191513275,3,543
id_12,2016-01-01 00:12:00,-73.92561348799192,40.76627619053469,-73.90602055005922,40.787854191959475,2,563
id_13,2016-01-01 00:13:00,-73.90772383867291,40.780378880527024,-73.97704113348178,40.75498375516032,1,1175
id_14,2016-01-01 00:14:00,-73.94565858011727,40.73215786262936,-73.90416642547638,40.79856674521205,3,1535
id_15,2016-01-01 00:15:00,-73.96727612782152,40.75241738950842,-73.92910138912869,40.76702790132871,2,662
id_16,2016-01-01 00:16:00,-73.93454152129841,40.77636551215823,-73.94103406558129,40.79290076973902,1,376
id_17,2016-01-01 00:17:00,-73.98361827438957,40.769896812626435,-73.9756059600115,40.79582579796331,1,527
id_18,2016-01-01 00:18:00,-73.90723688280073,40.80146548769101,-73.93500961430175,40.79712149730909,3,355
id_19,2016-01-01 00:19:00,-73.92683356008779,40.79118799815915,-73.9546368392237,40.798359834478184,2,366
id_20,2016-01-01 00:20:00,-73.91419122599146,40.81802825221644,-73.97110328343123,40.771736201601556,1,1029
id_21,2016-01-01 00:21:00,-73.95454740318701,40.815477070169734,-73.90200265536991,40.792468112573275,1,1091
id_22,2016-01-01 00:22:00,-73.8929301975605,40.754121984076626,-73.94394273492372,40.82067468582282,1,1823
id_23,2016-01-01 00:23:00,-73.90068788786778,40.731763872903386,-73.9820243967773,40.73681158886702,3,1183
id_24,2016-01-01 00:24:00,-73.91216165029262,40.81544707697037,-73.95978613078479,40.808319105571904,3,786
id_25,2016-01-01 00:25:00,-73.97053612921479,40.7629120864105,-73.97184951198567,40.74287696359861,3,330
id_26,2016-01-01 00:26:00,-73.94332789962729,40.76471097092406,-73.89607548344988,40.77655850588171,1,817
id_27,2016-01-01 00:27:00,-73.98561962342127,40.74583947981984,-73.9656938028787,40.74640773942421,3,297
